"id";"nhl_player_id";"year";"season";"name";"team";"pos";"gp";"hmgp";"rdgp";"dvgp";"g";"ppg";"esg";"shg";"gwg";"gtg";"1g";"otg";"hmg";"rdg";"dvg";"odvg";"eng";"gpg";"a";"ppa";"esa";"sha";"hma";"rda";"dva";"odva";"apg";"p";"ppp";"esp";"shp";"hmp";"rdp";"dvp";"odvp";"ptspg";"pm";"hmpm";"rdpm";"dvpm";"odvpm";"tmgf";"tmppgf";"tmga";"tmppga";"pim";"hmpim";"rdpim";"hmpen";"rdpen";"minor";"major";"misc";"gmisc";"match";"s";"sp";"toi";"toipg";"pptoi";"pptoipg";"estoi";"estoipg";"shtoi";"shtoipg";"hmevtoipg";"hmpptoipg";"hmshtoipg";"hmtoipg";"rdevtoipg";"rdpptoipg";"rdshtoipg";"rdtoipg";"shifts";"toipsft";"sftpg";"fo";"fow";"fol";"fop";"ppfow";"ppfol";"esfow";"esfol";"hmfo";"hmfow";"hmfol";"hmfop";"rdfo";"rdfow";"rdfol";"rdfop";"tmfop";"hits";"bks";"mss";"gva";"tka";"so";"sog";"sop";"sodg";"hmso";"hmsog";"hmsop";"hmsodg";"rdso";"rdsog";"rdsop";"rdsodg"
"11";"3074";"2010";"regular";"Chris Stewart";"COL";"R";"6";"1";"5";"0";"5";"2";"3";"0";"2";NULL;"1";"0";"1";"4";"0";"5";"0";"0.83";"2";"1";"1";"0";"1";"1";"0";"2";"0.33";"7";"3";"4";"0";"2";"5";"0";"7";"1.17";"-2";"1";"-3";"0";"-2";"7";"3";"6";"0";"9";"0";"9";"0";"3";"2";"1";"0";"0";"0";"20";"25.00";"6102";"1017";"1001";"166";"5101";"850";"0";"0";"1006";"172";"0";"1178";"819";"165";"0";"984";"123";"50";"21";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"1";"0";"1";"0.00";"0.20";"3";"1";"1";"3";"1";"1";"0";"0.00";"0";"0";"0";"0.00";"0";"1";"0";"0.00";"0"
"12";"3254";"2010";"regular";"Mark Letestu";"PIT";"C";"7";"5";"2";"4";"4";"2";"2";"0";"2";NULL;"1";"0";"2";"2";"2";"2";"0";"0.57";"3";"0";"3";"0";"3";"0";"2";"1";"0.43";"7";"2";"5";"0";"5";"2";"4";"3";"1.00";"3";"3";"0";"2";"1";"8";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"20.00";"6455";"922";"1097";"156";"5352";"764";"6";"0";"794";"131";"0";"925";"690";"219";"3";"913";"121";"53";"17";"83";"41";"42";"49.40";"7";"5";"34";"36";"62";"34";"28";"54.80";"21";"7";"14";"33.30";"21.60";"4";"1";"7";"2";"5";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"13";"1076";"2010";"regular";"Daniel Sedin";"VAN";"L";"5";"3";"2";"0";"4";"1";"3";"0";"1";NULL;"1";"0";"2";"2";"0";"4";"0";"0.80";"3";"2";"1";"0";"2";"1";"0";"3";"0.60";"7";"3";"4";"0";"4";"3";"0";"7";"1.40";"0";"2";"-2";"0";"0";"8";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"33.30";"5749";"1149";"744";"148";"4970";"994";"35";"7";"949";"153";"11";"1115";"1060";"141";"0";"1202";"119";"48";"24";"0";"0";"0";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"0";"0";"0";"0.00";"0.00";"2";"1";"4";"1";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"14";"2873";"2010";"regular";"James Neal";"DAL";"L";"5";"2";"3";"0";"3";"0";"3";"0";"0";NULL;"0";"0";"2";"1";"0";"3";"0";"0.60";"4";"0";"4";"0";"2";"2";"0";"4";"0.80";"7";"0";"7";"0";"4";"3";"0";"7";"1.40";"7";"4";"3";"0";"7";"8";"0";"2";"1";"8";"4";"4";"2";"2";"4";"0";"0";"0";"0";"12";"25.00";"5759";"1151";"763";"152";"4957";"991";"39";"7";"1014";"130";"7";"1152";"976";"167";"8";"1151";"122";"47";"24";"6";"1";"5";"16.70";NULL;NULL;NULL;NULL;"3";"1";"2";"33.30";"3";"0";"3";"0.00";"2.10";"13";"2";"5";"5";"7";"1";"0";"0.00";"0";"0";"0";"0.00";"0";"1";"0";"0.00";"0"
"15";"2461";"2010";"regular";"Alex Goligoski";"PIT";"D";"7";"5";"2";"4";"3";"2";"1";"0";"1";NULL;"1";"1";"2";"1";"3";"0";"0";"0.43";"4";"3";"1";"0";"3";"1";"1";"3";"0.57";"7";"5";"2";"0";"5";"2";"4";"3";"1.00";"4";"2";"2";"2";"2";"10";"6";"2";"2";"2";"0";"2";"0";"1";"1";"0";"0";"0";"0";"18";"16.70";"10446";"1492";"2600";"371";"6728";"961";"1118";"159";"968";"340";"158";"1468";"942";"448";"162";"1552";"195";"54";"28";"0";"0";"0";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"0";"0";"0";"0.00";"0.00";"5";"10";"8";"7";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"16";"1277";"2010";"regular";"Paul Martin";"PIT";"D";"7";"5";"2";"4";"1";"0";"1";"0";"0";NULL;"0";"0";"0";"1";"1";"0";"1";"0.14";"6";"2";"4";"0";"4";"2";"4";"2";"0.86";"7";"2";"5";"0";"4";"3";"5";"2";"1.00";"3";"2";"1";"1";"2";"13";"3";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"8.30";"10221";"1460";"1558";"222";"7386";"1055";"1277";"182";"1063";"199";"189";"1452";"1035";"279";"165";"1480";"203";"50";"29";"0";"0";"0";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"0";"0";"0";"0.00";"0.00";"2";"12";"6";"3";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"17";"1081";"2010";"regular";"Henrik Sedin";"VAN";"C";"5";"3";"2";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"0";"0";"0";"0.00";"7";"3";"4";"0";"5";"2";"0";"7";"1.40";"7";"3";"4";"0";"5";"2";"0";"7";"1.40";"0";"2";"-2";"0";"0";"8";"4";"4";"0";"4";"2";"2";"1";"1";"2";"0";"0";"0";"0";"11";"0.00";"5955";"1191";"724";"144";"5159";"1031";"72";"14";"996";"147";"20";"1163";"1085";"141";"5";"1232";"120";"50";"24";"95";"49";"46";"51.60";"4";"4";"45";"42";"60";"29";"31";"48.30";"35";"20";"15";"57.10";"31.20";"1";"3";"5";"2";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"18";"731";"2010";"regular";"Mike Ribeiro";"DAL";"C";"5";"2";"3";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"0";"0";"0";"0.00";"7";"1";"6";"0";"2";"5";"0";"7";"1.40";"7";"1";"6";"0";"2";"5";"0";"7";"1.40";"5";"1";"4";"0";"5";"8";"1";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0.00";"5733";"1146";"1173";"234";"4255";"851";"305";"61";"832";"171";"53";"1057";"863";"276";"66";"1206";"123";"47";"25";"83";"44";"39";"53.00";"12";"12";"32";"21";"36";"18";"18";"50.00";"47";"26";"21";"55.30";"30.10";"9";"5";"0";"3";"7";"2";"2";"100.00";"1";"1";"1";"100.00";"0";"1";"1";"100.00";"1"
"19";"2110";"2010";"regular";"Clarke MacArthur";"TOR";"L";"5";"3";"2";"2";"5";"1";"4";"0";"2";NULL;"0";"0";"2";"3";"2";"3";"0";"1.00";"1";"0";"1";"0";"1";"0";"1";"0";"0.20";"6";"1";"5";"0";"3";"3";"3";"3";"1.20";"2";"2";"0";"2";"0";"6";"1";"3";"0";"4";"0";"4";"0";"2";"2";"0";"0";"0";"0";"13";"38.50";"4725";"945";"782";"156";"3943";"788";"0";"0";"795";"152";"0";"948";"778";"162";"0";"940";"100";"47";"20";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"1";"0";"1";"0.00";"0";"0";"0";"0.00";"0.40";"8";"0";"4";"3";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"20";"1254";"2010";"regular";"Derek Roy";"BUF";"C";"6";"4";"2";"2";"5";"1";"4";"0";"1";NULL;"1";"0";"3";"2";"3";"2";"0";"0.83";"1";"0";"1";"0";"1";"0";"0";"1";"0.17";"6";"1";"5";"0";"4";"2";"3";"3";"1.00";"2";"1";"1";"2";"0";"7";"1";"4";"0";"4";"2";"2";"1";"1";"2";"0";"0";"0";"0";"20";"25.00";"7331";"1221";"1415";"235";"5631";"938";"285";"47";"1006";"202";"42";"1251";"803";"302";"57";"1162";"137";"54";"23";"101";"43";"58";"42.60";"16";"14";"26";"44";"67";"31";"36";"46.30";"34";"12";"22";"35.30";"31.90";"1";"3";"4";"6";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
